Movie,Year,Genre,IMDB Rating
The 400 Blows,1959,"['Crime', 'Drama']",8.1
Ben-Hur,1959,"['Adventure', 'Drama', 'History']",8.1
Diabolique,1955,"['Crime', 'Drama', 'Horror']",8.1
The Wages of Fear,1953,"['Adventure', 'Drama', 'Thriller']",8.1
The Maltese Falcon,1941,"['Film-Noir', 'Mystery']",8.1
Rebecca,1940,"['Drama', 'Mystery', 'Romance']",8.1
The Grapes of Wrath,1940,"['Drama', 'History']",8.1
It Happened One Night,1934,"['Comedy', 'Romance']",8.1
The Passion of Joan of Arc,1928,"['Biography', 'Drama', 'History']",8.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"['Action', 'Adventure', 'Fantasy']",8.0
Groundhog Day,1993,"['Comedy', 'Fantasy', 'Romance']",8.0
Beauty and the Beast,1991,"['Animation', 'Family', 'Fantasy']",8.0
The Terminator,1984,"['Action', 'Sci-Fi']",8.0
Jaws,1975,"['Adventure', 'Drama', 'Thriller']",8.0
Dog Day Afternoon,1975,"['Biography', 'Crime', 'Drama']",8.0
The Exorcist,1973,['Horror'],8.0
The Wizard of Oz,1939,"['Adventure', 'Family', 'Fantasy']",8.0
